y.re:14.412231,y.im:0.000000i
y.re:14.555852,y.im:-1.566627i
y.re:15.003804,y.im:-3.226421i
y.re:15.812698,y.im:-5.091991i
y.re:17.098084,y.im:-7.324007i
y.re:19.081840,y.im:-10.186496i
y.re:22.210665,y.im:-14.176057i
y.re:27.497137,y.im:-20.387039i
y.re:37.777131,y.im:-31.851880i
y.re:65.054723,y.im:-61.363558i
y.re:321.480580,y.im:-334.847554i
y.re:-97.396077,y.im:110.831916i
y.re:-40.462431,y.im:49.858901i
y.re:-24.888291,y.im:32.958920i
y.re:-17.664672,y.im:24.977306i
y.re:-13.522407,y.im:20.299878i
y.re:-10.852256,y.im:17.210356i
y.re:-8.997741,y.im:15.007429i
y.re:-7.641164,y.im:13.350869i
y.re:-6.610184,y.im:12.055496i
y.re:-5.803305,y.im:11.011795i
y.re:-5.156929,y.im:10.150788i
y.re:-4.629214,y.im:9.426824i
y.re:-4.191536,y.im:8.808456i
y.re:-3.823670,y.im:8.273295i
y.re:-3.510934,y.im:7.804953i
y.re:-3.242424,y.im:7.391146i
y.re:-3.009881,y.im:7.022480i
y.re:-2.806938,y.im:6.691638i
y.re:-2.628615,y.im:6.392835i
y.re:-2.470963,y.im:6.121431i
y.re:-2.330813,y.im:5.873661i
y.re:-2.205595,y.im:5.646433i
y.re:-2.093205,y.im:5.437184i
y.re:-1.991905,y.im:5.243770i
y.re:-1.900247,y.im:5.064384i
y.re:-1.817018,y.im:4.897488i
y.re:-1.741193,y.im:4.741767i
y.re:-1.671900,y.im:4.596090i
y.re:-1.608394,y.im:4.459476i
y.re:-1.550038,y.im:4.331070i
y.re:-1.496278,y.im:4.210125i
y.re:-1.446636,y.im:4.095984i
y.re:-1.400695,y.im:3.988067i
y.re:-1.358090,y.im:3.885859i
y.re:-1.318500,y.im:3.788900i
y.re:-1.281644,y.im:3.696784i
y.re:-1.247271,y.im:3.609141i
y.re:-1.215161,y.im:3.525643i
y.re:-1.185117,y.im:3.445991i
y.re:-1.156962,y.im:3.369917i
y.re:-1.130541,y.im:3.297177i
y.re:-1.105711,y.im:3.227548i
y.re:-1.082345,y.im:3.160828i
